Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
01390;1261,033754;2,675502326
01391;296,3603422;2,358539255
01392;632,4001848;1,457708456
01393;498,5744874;3,249400499
01396;958,659157;3,621280387
01397;1006,308025;2,646102889
01398;1284,943524;3,213025482
01399;1971,732031;2,968014663
01400;140,080356;0,274965681
01401;1965,039372;1,755338745
01402;689,9679765;2,937116134
01403;1260,152946;2,4293817
01404;145,3501616;1,627044985
01405;1179,261702;1,669855886
01406;179,9970917;2,031862097
01407;986,8457348;1,687176864
01408;656,0976342;1,72543098
01410;301,4670954;0,985450397
01411;268,2222183;1,925875515
01412;568,7432766;2,868892353
01415;451,7572788;4,445271457
01416;1085,535292;1,450482078
01418;1053,926354;3,318705301
01419;5685,936851;1,190086083
01420;1860,832376;2,799360995
01421;727,3234532;4,004709242
01422;1364,202512;3,589216922
01423;1030,114238;2,783881176
01424;1615,684027;2,948181632
01425;284,9722142;2,573019984
01426;2547,128148;1,799416529
01427;6595,787191;4,09016631
01428;119,828974;2,906348271
01429;663,1711662;1,59063179
01430;576,6987225;3,248696985
01431;1224,011605;4,194285329
01432;294,3410805;2,323516317
01433;310,217622;1,725054362
01434;426,433804;3,734132563
01435;2068,01671;2,945817325
01436;483,8186818;1,921529995
01437;242,0027582;2,312752431
01439;97,5395681;2,340820271
01441;688,7238866;2,236074106
01443;4894,659042;3,260792651
01444;1154,982521;2,786034835
01445;634,8978883;2,485222171
01446;1410,621322;3,765277086
01447;1347,417369;2,096928953
01448;368,6242084;2,40002731
01449;724,2993445;3,810652059
01450;3511,743109;2,17356088
01451;6419,09154;4,646059805
01452;1076,654974;4,070078226
01453;742,922518;2,742864358
01454;1046,187042;3,667049881
01456;79,60689407;4,021292261
01457;2999,612389;1,921880287
02001;483,4688111;3,079437332
02002;592,0647538;3,274322096
02003;1017,339121;2,305749432
02004;181,7216697;2,945493393
02005;374,1456631;2,6710353
02006;259,6515007;4,229674499
02007;127,8237384;2,848868564
02008;275,4807685;2,06643345
02009;536,1721145;2,614952486
02010;163,7768636;2,925762646
02011;1160,43798;2,690677556
02012;66,7773476;2,944905155
02013;395,9358601;2,666744685
02014;728,8155503;3,201768886
02015;75,14003774;1,650143476
02016;221,0315823;3,43903899
02017;303,0107205;2,702182092
02018;2564,450893;1,950486053
02019;369,1583842;2,957526279
02020;465,8413105;4,373239071
02021;86,86905198;3,797361608
02022;406,8438386;2,050183236
02023;103,952577;2,237892753
02024;57,52852168;1,36646602
02025;361,4166128;1,739612694
02027;229,9329612;1,971565988
02028;2622,328889;2,796112808
02029;366,1176286;2,504120314
02030;278,3230586;3,434663099
02031;675,8486084;4,04851779
