codgeo;libgeo;an;apl_mg_65_hmep
12402;Rodez;2018;4,10
13101;Saintes-Maries-de-la-Mer;2018;3,10
13102;Orgon;2018;3,60
13103;Mouriès;2018;3,20
13104;Fontvieille;2018;2,20
13105;Coudoux;2018;6,30
13106;Meyrargues;2018;4,30
13107;Maussane-les-Alpilles;2018;3,80
13108;Rognes;2018;3,20
13201;Cuges-les-Pins;2018;1,30
13202;Le Rove;2018;4,90
13203;La Roque-d'Anthéron;2018;3,10
13204;Ensuès-la-Redonne;2018;4,50
13205;Saint-Cannat;2018;3,80
13206;Le Puy-Sainte-Réparade;2018;3,80
13207;Carnoux-en-Provence;2018;4,60
13208;Sénas;2018;4,80
13209;Eyguières;2018;3,10
13210;Port-Saint-Louis-du-Rhône;2018;3,20
13211;La Fare-les-Oliviers;2018;4,50
13212;Lançon-Provence;2018;4,30
13213;Peyrolles-en-Provence;2018;2,90
13214;Lambesc;2018;3,40
13301;Cassis;2018;5,20
13302;Saint-Rémy-de-Provence;2018;4,00
13303;Mallemort;2018;3,50
13304;Saint-Martin-de-Crau;2018;3,30
13305;Sausset-les-Pins-Carry-le-Rouet;2018;3,10
13501;Salon-de-Provence;2018;4,00
14101;Potigny;2018;2,70
14102;Mathieu;2018;5,30
14103;Cairon;2018;2,90
14104;Dozulé;2018;2,70
14105;Louvigny;2018;6,30
14106;Orbec;2018;2,20
14107;Le Molay-Littry;2018;2,30
14108;Évrecy;2018;2,40
14109;Colleville-Montgomery;2018;3,10
14110;Le Hom;2018;3,00
14111;Villers-Bocage;2018;3,50
14112;Troarn;2018;5,20
14113;Frénouville;2018;4,10
14114;Ranville;2018;3,50
14115;Courseulles-sur-Mer;2018;3,10
14116;Les Monts d'Aunay;2018;2,70
14201;Douvres-la-Délivrande-Luc-sur-Mer;2018;3,50
14202;Pont-l'Évêque;2018;2,40
14203;Hermanville-sur-Mer;2018;3,00
14204;Thue et Mue;2018;4,90
14205;Livarot-Pays-d'Auge;2018;2,80
14206;Saint-Martin-de-Fontenay;2018;4,00
14207;Saint-Pierre-en-Auge;2018;2,20
14208;Blainville-sur-Orne;2018;4,50
14209;Falaise;2018;2,90
14210;Argences;2018;2,80
14211;Ouistreham;2018;2,70
14212;Luc-sur-Mer;2018;3,10
14213;Mézidon Vallée d'Auge;2018;2,20
14301;Vire Normandie;2018;4,00
14302;Bayeux;2018;3,70
14401;Lisieux;2018;2,60
14402;Dives-sur-Mer;2018;3,30
14701;Caen;2018;5,20
15101;Riom-ès-Montagnes;2018;4,40
15102;Ydes;2018;2,90
15103;Maurs;2018;2,70
15104;Mauriac;2018;4,80
15201;Saint-Flour;2018;3,70
15401;Aurillac;2018;4,80
16101;Mansle;2018;4,20
16102;Confolens;2018;1,40
16103;Chasseneuil-sur-Bonnieure;2018;2,90
16104;Châteauneuf-sur-Charente;2018;1,80
16105;Ruffec;2018;4,20
16106;La Rochefoucauld-en-Angoumois;2018;2,70
16107;Barbezieux-Saint-Hilaire;2018;3,40
16108;Jarnac;2018;3,60
16401;Cognac;2018;3,50
16601;Angoulême;2018;3,50
17101;Saint-Denis-d'Oléron;2018;2,50
17102;Esnandes;2018;2,30
17103;Saint-Laurent-de-la-Prée;2018;4,30
17104;Matha;2018;3,20
17105;Saint-Rogatien;2018;4,00
17106;Villedoux;2018;4,30
17107;Le Bois-Plage-en-Ré;2018;5,50
17108;Rivedoux-Plage;2018;5,10
17109;Saint-Trojan-les-Bains;2018;3,30
17110;La Jarne;2018;6,10
17111;Saint-Agnant;2018;4,40
17112;Médis;2018;4,90
17113;Breuillet;2018;4,30
17114;Port-des-Barques;2018;2,10
17115;Soubise;2018;4,10
17116;Marsilly;2018;3,10
17117;Dolus-d'Oléron;2018;4,50
17118;La Jarrie;2018;4,30
17119;Sainte-Marie-de-Ré;2018;4,40
17120;Montendre;2018;2,60
17121;Saint-Georges-d'Oléron;2018;3,30
17122;Fouras;2018;2,60
17123;Aigrefeuille-d'Aunis;2018;3,10
17124;Pons;2018;3,40
17125;Le Château-d'Oléron;2018;3,20
17126;Ars-en-Ré;2018;4,70
17127;Marans;2018;3,30
17128;Sainte-Soulle;2018;4,80
17129;Saint-Xandre;2018;5,70
17130;La Flotte;2018;4,70
17201;Jonzac;2018;2,90
17202;Saint-Pierre-d'Oléron;2018;3,60
17203;Surgères;2018;3,90
17204;Saujon;2018;3,10
17205;Saint-Jean-d'Angély;2018;3,20
17206;Marennes-Hiers-Brouage;2018;4,00
17301;La Tremblade;2018;3,40
17401;Saintes;2018;4,80
17402;Rochefort;2018;4,60
17403;Royan;2018;3,20
17601;La Rochelle;2018;5,50
18101;Sancerre;2018;2,70
18102;Léré;2018;2,00
18103;Sancoins;2018;3,40
18104;La Guerche-sur-l'Aubois;2018;2,30
18105;Avord;2018;1,90
18106;Dun-sur-Auron;2018;2,00
18107;Trouy;2018;2,40
18201;Aubigny-sur-Nère;2018;4,20
18202;Saint-Florent-sur-Cher;2018;2,20
18203;Mehun-sur-Yèvre;2018;2,30
18301;Saint-Amand-Montrond;2018;2,50
18401;Vierzon;2018;2,20
18501;Bourges;2018;3,00
19101;Donzenac;2018;3,90
19102;Bort-les-Orgues;2018;3,00
19103;Uzerche;2018;2,80
19104;Argentat-sur-Dordogne;2018;4,60
19105;Égletons;2018;2,80
19106;Objat;2018;2,70
19201;Allassac;2018;2,80
19202;Ussel;2018;3,00
19401;Tulle;2018;3,00
21101;Brazey-en-Plaine;2018;3,30
21102;Selongey;2018;3,60
21103;Saulieu;2018;2,10
21104;Arc-sur-Tille;2018;3,70
21105;Seurre;2018;2,10
21106;Saint-Jean-de-Losne;2018;3,10
21107;Venarey-les-Laumes;2018;2,30
21108;Semur-en-Auxois;2018;3,40
21109;Saint-Julien;2018;2,70
21110;Gevrey-Chambertin;2018;3,60
21201;Genlis;2018;3,80
21202;Châtillon-sur-Seine;2018;2,50
21203;Montbard;2018;2,50
21204;Nuits-Saint-Georges;2018;4,10
21205;Is-sur-Tille;2018;5,00
21206;Auxonne;2018;1,90
21401;Beaune;2018;4,30
21701;Dijon;2018;4,70
22101;Quintin;2018;2,10
22102;Broons;2018;2,00
22103;Merdrignac;2018;3,40
22104;Rostrenen;2018;3,70
22105;Plouézec;2018;2,70
22106;Saint-Cast-le-Guildo;2018;1,90
22107;Plouaret;2018;2,10
22108;Plouër-sur-Rance;2018;3,90
22109;Trébeurden;2018;2,50
22110;Plémet;2018;3,30
22111;Lanvollon;2018;3,40
22112;La Roche-Jaudy;2018;3,60
22113;Pommeret;2018;3,80
22114;Châtelaudren-Plouagat;2018;3,40
22115;Erquy;2018;3,00
22116;Plœuc-L'Hermitage;2018;2,10
22117;Pléneuf-Val-André;2018;3,10
22118;Plouha;2018;3,10
22119;Bégard;2018;3,40
22201;Plancoët;2018;2,70
22202;Plaintel;2018;3,30
22203;Tréguier;2018;3,20
22204;Plédran;2018;2,90
22205;Pordic;2018;3,30
22206;Loudéac;2018;2,70
22301;Binic-Étables-sur-Mer;2018;3,30
22302;Lamballe-Armor;2018;2,40
22303;Paimpol;2018;3,10
22401;Guingamp;2018;3,50
22402;Dinan;2018;3,50
22403;Lannion;2018;3,80
22501;Saint-Brieuc;2018;3,60
23101;Bourganeuf;2018;6,00
23102;Aubusson;2018;4,30
23201;La Souterraine;2018;2,20
23301;Guéret;2018;3,00
24101;Excideuil;2018;4,30
24102;Montcaret;2018;2,80
24103;Le Bugue;2018;4,70
24104;Eymet;2018;2,00
24105;Montignac-Lascaux;2018;3,30
24106;Le Lardin-Saint-Lazare;2018;3,90
24107;Neuvic;2018;3,30
24108;Razac-sur-l'Isle;2018;3,40
24109;Nontron;2018;2,30
24110;Thiviers;2018;3,40
24111;Ribérac;2018;2,20
24112;Lalinde;2018;2,90
24201;Saint-Astier;2018;2,90
24202;Mussidan;2018;2,90
24203;Sarlat-la-Canéda;2018;3,80
24501;Périgueux;2018;4,20
25101;Colombier-Fontaine;2018;2,50
25102;Goux-les-Usiers;2018;3,50
25103;Arcey;2018;2,90
25104;Le Russey;2018;2,30
25105;Montferrand-le-Château;2018;3,40
25106;Les Auxons;2018;5,40
25107;Charquemont;2018;4,10
25108;L'Isle-sur-le-Doubs;2018;2,20
25109;Saône;2018;3,90
25110;Ornans;2018;4,10
25111;Roche-lez-Beaupré;2018;4,10
25112;Maîche;2018;4,10
25113;Saint-Vit;2018;4,20
25114;Villers-le-Lac;2018;3,90
25201;Baume-les-Dames;2018;4,80
25202;Valdahon;2018;4,60
25203;Pont-de-Roide-Vermondans;2018;2,80
25204;Pouilley-les-Vignes;2018;4,50
25301;Morteau;2018;4,10
25401;Pontarlier;2018;3,50
25601;Besançon;2018;5,20
26101;Suze-la-Rousse;2018;2,80
26102;Buis-les-Baronnies;2018;5,80
26103;Allex;2018;3,50
26104;Saint-Jean-en-Royans;2018;2,80
26105;Anneyron;2018;2,80
26106;Dieulefit;2018;3,60
26107;Montélier;2018;3,20
26108;Saint-Donat-sur-l'Herbasse;2018;2,00
